Id,Label,timeset,0,1,2,3,4,5,6,7,8,9,bday,kclique,demon,louvain,infomap,Degree,componentnumber,Weighted Degree,modularity_class
105309,105309,,"Peralta, Fe",443,2632,2537,-102.4,138,227,78,ARG,M,1979,25,31,0,19,32,0,32,19
3508129,3508129,,"Guerra Mendez, J",120,2550,2428,12,29,65,26,ESP,M,1988,25,31,0,19,17,0,17,19
4173708,4173708,,"Rakhmanov, Ale",849,2676,2582,-111.3,286,402,161,RUS,M,1989,4,34,1,1,95,0,95,2
4195639,4195639,,"Chekhov, S",94,2488,2443,-67.9,9,35,50,RUS,M,1992,4,30,1,1,7,0,7,2
4114060,4114060,,"Sychev, K",346,2579,2407,333.2,95,141,110,RUS,M,1996,4,30,1,1,34,0,34,2
14122286,14122286,,"Trjapishko, A",229,2536,2458,36.2,54,97,78,RUS,M,2000,4,30,1,1,22,0,22,2
24126055,24126055,,"Dubov, Daniil",990,2709,2569,356.8,353,423,214,RUS,M,1996,4,34,1,1,115,0,115,2
4167570,4167570,,"Gunina, V",886,2548,2490,479.2,386,215,285,RUS,F,1989,8,34,2,2,58,0,58,7
24171760,24171760,,"Shuvalova, Polina",62,2471,2413,-44.7,14,15,33,RUS,F,2001,8,32,2,2,10,0,10,7
4119150,4119150,,"Kobalia, M",390,2677,2596,-189.6,125,169,96,RUS,M,1978,4,34,1,1,42,0,42,2
24131423,24131423,,"Yuffa, D",473,2595,2430,174.8,138,195,140,RUS,M,1997,4,34,1,1,41,0,41,2
2000024,2000024,,"Kamsky, G",782,2763,2637,-66.3,285,376,121,USA,M,1974,4,34,1,1,85,0,85,2
4138147,4138147,,"Alekseev, Evgeny",941,2714,2607,-92.1,331,459,151,RUS,M,1985,4,34,1,1,108,0,108,2
4194985,4194985,,"Paravyan, D",555,2638,2417,100.2,195,187,173,RUS,M,1998,4,34,1,1,65,0,65,2
4129199,4129199,,"Grachev, B",780,2693,2615,-44.4,258,424,98,RUS,M,1986,4,34,1,1,91,0,91,2
4121830,4121830,,"Motylev, A",651,2698,2643,-229,206,314,131,RUS,M,1979,4,34,1,1,64,0,64,2
24101729,24101729,,"Kozionov, Kirill",152,2461,2401,-24.8,21,62,69,RUS,M,1998,4,30,1,1,7,0,7,2
4169786,4169786,,"Potapov, P",448,2517,2444,69.4,78,210,160,RUS,M,1990,4,34,1,1,60,0,60,2
4135539,4135539,,"Alekseenko, K",555,2668,2430,207.4,221,180,154,RUS,M,1997,4,34,1,1,56,0,56,2
4107012,4107012,,"Antipov, M2",625,2626,2433,143.3,195,234,196,RUS,M,1997,4,34,1,1,50,0,50,2
4101332,4101332,,"Gleizerov, E",207,2569,2487,-48.1,38,128,41,RUS,M,1963,0,27,3,31,5,0,5,11
4105257,4105257,,"Bezgodov, A",132,2512,2441,47.2,30,58,44,RUS,M,1969,0,25,1,31,9,0,9,2
4195540,4195540,,"Gutenev, A",115,2485,2407,-25,18,52,45,RUS,M,1990,0,27,1,31,11,0,11,2
911925,911925,,"Indjic, A",543,2630,2451,172,202,217,124,SRB,M,1995,12,34,4,6,33,0,33,12
24171735,24171735,,"Drygalov, Andrey",144,2501,2416,42.3,31,67,46,RUS,M,1999,0,30,1,31,13,0,13,2
4102541,4102541,,"Meister, Jak",71,2480,2418,-45.4,9,31,31,GER,M,1955,0,0,5,56,2,0,2,0
24104795,24104795,,"Belyakov, B",369,2513,2407,51.1,67,157,145,RUS,M,1989,4,34,1,1,36,0,36,2
